Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
10.2017,Razem,438,1,9,29,29,43,33,38,32,28,46,56,32,22,11,18,10,1
10.2017,BG KWP Bydgoszcz,24,,,2,,3,2,3,5,2,1,1,2,1,1,1,,
10.2017,BK KWP Białystok,3,,,,1,,,1,,,1,,,,,,,
10.2017,GD KWP Gdańsk,30,,,3,5,1,2,3,1,1,5,5,2,,1,1,,
10.2017,GO KWP Gorzów Wlkp.,11,,,1,,2,1,1,1,,1,,1,1,1,,1,
10.2017,KA KWP Katowice,54,,2,3,3,10,1,3,4,6,5,7,2,4,1,2,1,
10.2017,KI KWP Kielce,15,,1,1,,,,1,,1,1,4,2,3,,1,,
10.2017,KK KWP Kraków,28,,,2,1,1,5,5,,,3,2,4,,1,3,1,
10.2017,LD KWP Łódź,33,,,4,2,3,3,1,3,1,3,6,1,3,,2,1,
10.2017,LU KWP Lublin,19,,,1,,2,4,2,1,,2,3,2,1,,,1,
10.2017,OL KWP Olsztyn,25,1,1,4,1,3,1,2,4,2,1,,,2,1,1,1,
10.2017,OP KWP Opole,8,,,,,3,,,,1,3,,1,,,,,
10.2017,PO KWP Poznań,37,,,1,5,1,4,3,3,2,4,7,2,1,1,2,1,
10.2017,RZ KWP Rzeszów,28,,1,1,1,2,1,2,3,5,5,1,4,,1,1,,
10.2017,SC KWP Szczecin,25,,,2,3,3,2,3,1,,3,3,2,1,,1,,1
10.2017,WA KSP Warszawa,31,,1,1,2,4,1,2,1,4,1,7,1,2,1,1,2,
10.2017,WA KWP Radom,34,,2,1,3,1,1,3,2,2,6,6,4,1,,1,1,
10.2017,WR KWP Wrocław,33,,1,2,2,4,5,3,3,1,1,4,2,2,2,1,,
