Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,475,,7,34,40,31,52,42,42,41,42,47,31,27,16,11,11,1
BG KWP Bydgoszcz,31,,1,3,3,1,4,1,5,3,2,2,2,1,1,2,,
BK KWP Białystok,22,,2,2,4,1,3,3,2,2,2,1,,,,,,
GD KWP Gdańsk,29,,1,,4,1,5,3,2,5,,4,1,1,2,,,
GO KWP Gorzów Wlkp.,8,,,1,,1,1,1,,,1,2,1,,,,,
KA KWP Katowice,51,,,4,5,2,2,5,2,6,5,7,4,2,3,1,3,
KI KWP Kielce,19,,,1,,1,7,1,,1,2,1,2,3,,,,
KK KWP Kraków,47,,1,3,3,1,4,6,4,6,3,5,4,4,1,2,,
LD KWP Łódź,31,,,5,1,4,6,1,4,1,3,3,1,,,1,1,
LU KWP Lublin,28,,1,3,1,2,,1,2,1,5,5,2,1,2,2,,
OL KWP Olsztyn,29,,,1,3,2,4,4,5,2,4,,2,1,,,1,
OP KWP Opole,7,,,1,1,1,,1,,,1,1,,,,,1,
PO KWP Poznań,31,,,,2,1,6,7,3,,4,2,1,2,2,,1,
RZ KWP Rzeszów,22,,,1,2,1,,2,5,3,1,2,1,2,1,1,,
SC KWP Szczecin,20,,1,3,,1,1,1,2,2,,2,2,4,1,,,
WA KSP Warszawa,24,,,3,2,5,3,1,1,1,1,1,2,2,,,2,
WA KWP Radom,32,,,1,1,2,2,3,,7,3,6,4,1,,,1,1
WR KWP Wrocław,44,,,2,8,4,4,1,5,1,5,3,2,3,3,2,1,
