Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,419,,13,25,27,44,42,47,33,32,41,29,29,13,16,18,9,1
BG KWP Bydgoszcz,16,,1,1,,1,,4,1,,1,2,1,1,2,1,,
BK KWP Białystok,15,,4,,1,2,2,1,1,,2,,,,1,,,1
GD KWP Gdańsk,25,,1,3,3,1,3,3,2,3,1,,1,,2,1,1,
GO KWP Gorzów Wlkp.,17,,,1,1,1,2,2,1,2,1,1,,1,,2,2,
KA KWP Katowice,34,,1,3,4,4,5,5,2,,4,1,2,,1,2,,
KI KWP Kielce,15,,,,,2,1,3,2,1,,2,2,2,,,,
KK KWP Kraków,40,,,3,3,6,1,4,5,4,2,1,3,3,2,2,1,
LD KWP Łódź,35,,,1,1,4,5,4,2,4,5,3,3,,2,1,,
LU KWP Lublin,32,,,2,,1,3,5,3,3,5,2,3,2,1,1,1,
OL KWP Olsztyn,20,,,1,3,2,3,2,3,1,1,1,,3,,,,
OP KWP Opole,12,,,,3,,2,1,3,2,,1,,,,,,
PO KWP Poznań,30,,2,3,1,1,2,4,1,,6,4,3,1,1,1,,
RZ KWP Rzeszów,12,,1,1,,,2,1,,2,2,2,,,,1,,
SC KWP Szczecin,19,,,1,1,2,3,2,1,2,3,2,,,,1,1,
WA KSP Warszawa,28,,1,2,1,7,2,1,2,5,1,1,2,,1,2,,
WA KWP Radom,30,,2,3,2,4,3,2,2,,1,2,4,,2,2,1,
WR KWP Wrocław,39,,,,3,6,3,3,2,3,6,4,5,,1,1,2,
