Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
05.2018,Razem,488,1,9,38,25,36,41,41,37,45,46,65,40,29,17,9,8,1
05.2018,BG KWP Bydgoszcz,33,,,6,2,3,2,2,4,3,3,4,2,2,,,,
05.2018,BK KWP Białystok,10,,,1,,,,,1,,2,2,1,,2,1,,
05.2018,GD KWP Gdańsk,24,,1,3,2,4,2,2,1,1,2,2,2,1,1,,,
05.2018,GO KWP Gorzów Wlkp.,11,,1,,,1,1,1,2,1,1,2,1,,,,,
05.2018,KA KWP Katowice,58,,,1,2,6,5,2,8,4,6,8,5,4,5,1,1,
05.2018,KI KWP Kielce,20,,,1,,,2,2,2,2,3,4,1,1,1,1,,
05.2018,KK KWP Kraków,45,,2,4,3,5,1,7,6,6,1,5,3,1,,1,,
05.2018,LD KWP Łódź,51,,,2,3,5,7,2,7,5,2,11,4,2,,,1,
05.2018,LU KWP Lublin,24,,,3,3,1,1,1,,1,3,1,5,2,1,2,,
05.2018,OL KWP Olsztyn,19,,,5,2,1,1,1,,1,2,1,3,1,,,1,
05.2018,OP KWP Opole,9,1,1,,,1,,2,1,,,,,2,,1,,
05.2018,PO KWP Poznań,29,,,2,2,,3,1,1,5,6,4,2,1,,1,1,
05.2018,RZ KWP Rzeszów,21,,1,,,2,1,3,1,4,4,2,1,1,1,,,
05.2018,SC KWP Szczecin,21,,1,2,1,1,3,3,1,3,1,3,2,,,,,
05.2018,WA KSP Warszawa,37,,1,4,1,2,4,1,2,1,3,3,3,5,3,1,3,
05.2018,WA KWP Radom,34,,1,2,1,,,7,,6,3,7,4,1,1,,1,
05.2018,WR KWP Wrocław,42,,,2,3,4,8,4,,2,4,6,1,5,2,,,1
