Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
04.2019,Razem,449,,5,32,29,41,42,42,38,39,44,46,35,25,13,8,10,
04.2019,BG KWP Bydgoszcz,20,,,1,,4,1,3,1,1,1,3,1,3,,,1,
04.2019,BK KWP Białystok,16,,,,1,2,4,1,3,,2,1,1,,1,,,
04.2019,GD KWP Gdańsk,20,,,,3,,4,2,1,1,1,1,6,,,,1,
04.2019,GO KWP Gorzów Wlkp.,10,,,,,1,1,,2,1,,1,2,1,,1,,
04.2019,KA KWP Katowice,35,,1,4,4,5,2,4,4,3,2,1,1,1,2,,1,
04.2019,KI KWP Kielce,22,,,3,1,1,,3,1,1,3,3,3,3,,,,
04.2019,KK KWP Kraków,36,,1,4,4,3,2,3,3,3,2,4,1,2,1,1,2,
04.2019,LD KWP Łódź,32,,2,,3,3,4,3,4,3,5,,3,1,1,,,
04.2019,LU KWP Lublin,27,,1,2,2,3,1,3,5,4,1,,1,2,,2,,
04.2019,OL KWP Olsztyn,21,,,2,,1,1,1,1,4,2,5,4,,,,,
04.2019,OP KWP Opole,10,,,1,1,,1,,,,2,3,,1,1,,,
04.2019,PO KWP Poznań,46,,,4,3,6,5,1,5,3,7,6,2,2,1,,1,
04.2019,RZ KWP Rzeszów,16,,,,1,1,2,2,3,3,1,1,1,1,,,,
04.2019,SC KWP Szczecin,26,,,,1,3,4,1,2,1,4,3,3,3,,1,,
04.2019,WA KSP Warszawa,22,,,,,3,,3,2,2,2,3,1,1,2,,3,
04.2019,WA KWP Radom,52,,,4,3,2,8,8,,6,6,8,2,2,1,1,1,
04.2019,WR KWP Wrocław,38,,,7,2,3,2,4,1,3,3,3,3,2,3,2,,
