Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,503,,9,35,39,47,59,47,38,38,44,52,36,25,13,12,9,
BG KWP Bydgoszcz,22,,1,1,4,2,2,1,1,2,2,4,1,1,,,,
BK KWP Białystok,14,,,,,,1,3,1,1,1,3,2,,1,,1,
GD KWP Gdańsk,31,,1,4,2,2,2,5,1,2,1,7,1,1,,2,,
GO KWP Gorzów Wlkp.,17,,1,,2,1,4,1,2,1,2,1,1,,1,,,
KA KWP Katowice,58,,1,5,8,9,5,6,5,5,4,4,,1,1,2,2,
KI KWP Kielce,19,,,,2,,1,1,2,3,,2,4,2,2,,,
KK KWP Kraków,57,,1,2,2,5,11,6,1,4,7,6,6,1,2,2,1,
LD KWP Łódź,28,,,1,1,2,2,4,5,2,3,1,3,2,,1,1,
LU KWP Lublin,33,,1,2,1,2,5,4,3,2,3,3,1,3,,1,2,
OL KWP Olsztyn,19,,,2,1,2,3,2,1,2,2,3,,,1,,,
OP KWP Opole,12,,,2,,2,1,,3,1,1,1,1,,,,,
PO KWP Poznań,42,,2,2,2,5,4,4,2,4,3,3,5,5,1,,,
RZ KWP Rzeszów,19,,,,3,1,4,,4,1,2,3,1,,,,,
SC KWP Szczecin,19,,,2,1,2,4,,,3,3,1,,3,,,,
WA KSP Warszawa,26,,1,1,2,4,2,2,1,1,4,2,3,2,,,1,
WA KWP Radom,37,,,5,4,5,5,3,3,2,3,4,,1,1,1,,
WR KWP Wrocław,50,,,6,4,3,3,5,3,2,3,4,7,3,3,3,1,
