Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
05.2019,Razem,480,1,5,23,40,50,44,38,51,36,39,49,53,20,6,10,15,
05.2019,BG KWP Bydgoszcz,20,,,,1,4,3,2,2,1,2,2,1,1,,1,,
05.2019,BK KWP Białystok,17,,,3,,1,2,2,1,3,2,1,,,,1,1,
05.2019,GD KWP Gdańsk,35,,,1,3,2,5,3,2,4,3,3,6,1,,,2,
05.2019,GO KWP Gorzów Wlkp.,10,,,,1,3,1,1,1,,1,1,1,,,,,
05.2019,KA KWP Katowice,58,,,7,4,5,8,4,7,5,3,3,8,1,2,1,,
05.2019,KI KWP Kielce,16,,,2,2,3,2,,1,3,1,,1,,,1,,
05.2019,KK KWP Kraków,33,1,1,5,2,4,1,3,3,1,5,5,1,,,1,,
05.2019,LD KWP Łódź,37,,1,,3,2,4,1,6,4,,5,5,1,2,1,2,
05.2019,LU KWP Lublin,36,,,1,2,4,2,4,5,2,3,6,2,2,1,,2,
05.2019,OL KWP Olsztyn,25,,1,1,2,3,1,2,,1,3,3,2,3,,2,1,
05.2019,OP KWP Opole,11,,,,1,2,,1,3,,,2,1,1,,,,
05.2019,PO KWP Poznań,30,,,,2,1,2,2,2,6,3,4,3,3,,1,1,
05.2019,RZ KWP Rzeszów,23,,,,2,1,1,3,2,,4,3,3,2,1,,1,
05.2019,SC KWP Szczecin,23,,1,,3,2,2,2,3,,1,4,1,1,,1,2,
05.2019,WA KSP Warszawa,35,,,1,7,4,1,5,5,2,1,1,6,1,,,1,
05.2019,WA KWP Radom,32,,,1,2,5,1,1,3,3,6,,7,2,,,1,
05.2019,WR KWP Wrocław,39,,1,1,3,4,8,2,5,1,1,6,5,1,,,1,
