Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
08.2018,Razem,489,,6,30,37,42,46,41,50,30,59,55,35,24,14,11,9,
08.2018,BG KWP Bydgoszcz,26,,,2,1,2,6,3,2,3,2,2,1,1,,1,,
08.2018,BK KWP Białystok,12,,,,1,3,1,,,3,3,1,,,,,,
08.2018,GD KWP Gdańsk,25,,1,3,3,1,2,,1,1,3,5,1,2,1,1,,
08.2018,GO KWP Gorzów Wlkp.,21,,,,,3,5,2,4,,5,1,1,,,,,
08.2018,KA KWP Katowice,56,,1,4,4,3,5,6,7,2,8,3,7,3,,1,2,
08.2018,KI KWP Kielce,13,,,,1,1,1,,2,,3,5,,,,,,
08.2018,KK KWP Kraków,40,,,3,2,3,1,2,7,1,2,10,4,2,1,2,,
08.2018,LD KWP Łódź,31,,,2,2,5,,2,1,3,2,4,3,5,,1,1,
08.2018,LU KWP Lublin,35,,,1,2,1,5,3,6,4,3,4,,2,2,1,1,
08.2018,OL KWP Olsztyn,16,,,2,1,,2,2,3,2,2,1,1,,,,,
08.2018,OP KWP Opole,9,,1,1,,,1,,,2,2,1,,,1,,,
08.2018,PO KWP Poznań,37,,2,1,4,4,1,3,4,2,8,1,3,1,1,2,,
08.2018,RZ KWP Rzeszów,21,,,2,5,1,2,,2,1,3,,,2,2,,1,
08.2018,SC KWP Szczecin,21,,,1,1,1,3,1,1,3,1,4,2,1,1,,1,
08.2018,WA KSP Warszawa,36,,,2,5,3,5,5,3,1,2,3,2,1,2,1,1,
08.2018,WA KWP Radom,39,,,4,2,4,3,6,2,,3,5,4,2,2,1,1,
08.2018,WR KWP Wrocław,51,,1,2,3,7,3,6,5,2,7,5,6,2,1,,1,
