Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
02.2020,Razem,370,,14,21,23,30,34,31,42,29,28,44,27,22,9,7,8,1
02.2020,BG KWP Bydgoszcz,15,,1,,,,2,,1,2,2,2,,3,1,1,,
02.2020,BK KWP Białystok,8,,,1,1,1,,1,2,1,,,,,1,,,
02.2020,GD KWP Gdańsk,16,,,,1,,1,4,3,1,1,,4,,,,1,
02.2020,GO KWP Gorzów Wlkp.,9,,,1,,2,,2,1,,1,2,,,,,,
02.2020,KA KWP Katowice,41,,,2,2,6,5,4,7,3,3,5,1,1,,1,1,
02.2020,KI KWP Kielce,15,,,,,2,,1,,,2,3,3,3,,,1,
02.2020,KK KWP Kraków,37,,2,2,4,4,3,1,3,4,3,2,4,1,3,,1,
02.2020,LD KWP Łódź,23,,2,,2,,1,,3,2,2,5,3,3,,,,
02.2020,LU KWP Lublin,23,,,2,1,2,3,1,4,1,,4,1,2,1,1,,
02.2020,OL KWP Olsztyn,19,,1,1,4,,3,,2,3,3,1,,1,,,,
02.2020,OP KWP Opole,9,,2,1,1,1,,,,1,1,,1,,,1,,
02.2020,PO KWP Poznań,33,,,3,1,3,4,3,5,3,1,6,,2,1,,1,
02.2020,RZ KWP Rzeszów,17,,,3,,1,1,4,1,,1,3,1,1,1,,,
02.2020,SC KWP Szczecin,18,,3,,1,3,1,1,,1,1,3,3,,,1,,
02.2020,WA KSP Warszawa,33,,2,,3,1,3,2,4,4,2,2,4,2,,1,2,1
02.2020,WA KWP Radom,25,,,4,,2,5,4,1,1,3,2,1,,1,1,,
02.2020,WR KWP Wrocław,29,,1,1,2,2,2,3,5,2,2,4,1,3,,,1,
