Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
01.2019,Razem,398,,6,37,32,28,49,29,37,26,32,39,19,24,14,12,13,1
01.2019,BG KWP Bydgoszcz,15,,1,1,2,1,1,1,,,1,4,1,1,,,,1
01.2019,BK KWP Białystok,14,,,1,3,,,2,1,1,2,,,,,4,,
01.2019,GD KWP Gdańsk,30,,,3,2,,5,5,3,4,3,,1,3,1,,,
01.2019,GO KWP Gorzów Wlkp.,14,,,2,,,1,1,2,2,2,1,1,,1,1,,
01.2019,KA KWP Katowice,44,,,2,5,4,6,3,4,1,3,5,2,2,3,,4,
01.2019,KI KWP Kielce,12,,,1,2,1,1,2,,,,,2,1,,2,,
01.2019,KK KWP Kraków,35,,,6,2,3,3,,6,1,4,3,2,2,,2,1,
01.2019,LD KWP Łódź,23,,1,2,1,,4,,4,,2,3,,4,1,,1,
01.2019,LU KWP Lublin,19,,,2,,1,1,3,3,2,4,1,1,,1,,,
01.2019,OL KWP Olsztyn,15,,1,,1,3,4,,,,,3,1,1,1,,,
01.2019,OP KWP Opole,9,,,2,,1,3,1,,,1,,,,1,,,
01.2019,PO KWP Poznań,39,,1,3,5,3,1,7,4,3,3,2,2,1,2,,2,
01.2019,RZ KWP Rzeszów,19,,1,4,2,,3,1,2,,2,3,,,,1,,
01.2019,SC KWP Szczecin,26,,,2,2,3,3,1,1,3,1,4,3,2,,,1,
01.2019,WA KSP Warszawa,25,,,,3,3,2,1,,1,1,5,2,2,1,1,3,
01.2019,WA KWP Radom,26,,,1,1,2,4,1,2,4,3,3,,3,2,,,
01.2019,WR KWP Wrocław,33,,1,5,1,3,7,,5,4,,2,1,2,,1,1,
