Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
04.2018,Razem,509,,8,25,28,42,33,54,49,44,51,59,39,33,17,13,14,
04.2018,BG KWP Bydgoszcz,23,,,2,1,2,,2,2,1,2,4,1,3,2,,1,
04.2018,BK KWP Białystok,17,,,1,1,1,,4,1,3,2,,2,,1,1,,
04.2018,GD KWP Gdańsk,23,,,1,2,3,1,5,,3,,1,5,,1,1,,
04.2018,GO KWP Gorzów Wlkp.,15,,,,,1,2,,1,4,1,1,2,2,,,1,
04.2018,KA KWP Katowice,63,,1,3,7,4,5,8,12,2,2,8,5,,4,1,1,
04.2018,KI KWP Kielce,18,,,1,1,2,2,,1,1,5,2,1,1,,1,,
04.2018,KK KWP Kraków,42,,,3,1,3,4,1,9,4,6,4,1,2,2,1,1,
04.2018,LD KWP Łódź,43,,1,2,4,2,3,7,2,3,6,1,3,3,2,2,2,
04.2018,LU KWP Lublin,35,,1,2,2,4,,3,2,4,5,4,2,5,1,,,
04.2018,OL KWP Olsztyn,26,,,,2,3,1,,5,5,2,2,2,2,1,,1,
04.2018,OP KWP Opole,8,,,,,1,1,,1,1,1,2,,1,,,,
04.2018,PO KWP Poznań,42,,1,2,1,3,5,5,4,3,3,5,4,1,1,1,3,
04.2018,RZ KWP Rzeszów,26,,,2,,4,1,4,1,4,2,2,3,2,,,1,
04.2018,SC KWP Szczecin,23,,,1,1,3,2,2,1,1,2,5,2,2,,,1,
04.2018,WA KSP Warszawa,37,,3,3,2,1,2,4,1,2,2,5,3,5,,3,1,
04.2018,WA KWP Radom,38,,1,2,2,2,4,5,3,2,5,7,2,,1,1,1,
04.2018,WR KWP Wrocław,30,,,,1,3,,4,3,1,5,6,1,4,1,1,,
