Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,415,,11,18,35,35,35,41,30,44,53,39,39,12,7,12,2,2
BG KWP Bydgoszcz,23,,,1,2,1,2,2,3,5,1,3,2,,1,,,
BK KWP Białystok,9,,,,,2,1,2,,,,2,1,,1,,,
GD KWP Gdańsk,28,,,3,2,3,,4,1,2,3,4,4,,1,,1,
GO KWP Gorzów Wlkp.,12,,,1,2,,1,,1,2,,1,2,1,,1,,
KA KWP Katowice,43,,,1,5,4,4,4,3,7,6,3,2,1,,3,,
KI KWP Kielce,13,,,,2,1,1,1,,2,1,2,1,1,1,,,
KK KWP Kraków,37,,3,2,5,1,2,4,3,4,4,1,3,2,2,1,,
LD KWP Łódź,22,,1,1,1,1,2,,3,3,4,2,2,1,,,1,
LU KWP Lublin,26,,2,2,1,3,2,4,3,,4,2,2,,,1,,
OL KWP Olsztyn,14,,,,1,,,2,2,2,1,3,,1,,2,,
OP KWP Opole,16,,,,2,2,3,,3,1,1,1,3,,,,,
PO KWP Poznań,32,,1,2,1,4,7,1,2,3,2,1,5,1,,1,,1
RZ KWP Rzeszów,25,,1,1,2,3,1,2,1,2,6,3,3,,,,,
SC KWP Szczecin,21,,1,,1,2,2,3,1,2,4,2,2,,,1,,
WA KSP Warszawa,28,,1,,,1,4,6,,2,5,4,3,,,2,,
WA KWP Radom,36,,,3,3,3,2,3,3,5,6,2,2,2,1,,,1
WR KWP Wrocław,30,,1,1,5,4,1,3,1,2,5,3,2,2,,,,
