Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,381,,16,21,27,40,39,32,35,27,49,38,19,11,7,7,12,1
BG KWP Bydgoszcz,17,,1,1,,1,3,2,1,,,4,2,,1,1,,
BK KWP Białystok,10,,,2,,2,1,1,,1,2,,,,,,1,
GD KWP Gdańsk,26,,,,2,3,5,3,4,2,1,1,,1,1,1,2,
GO KWP Gorzów Wlkp.,12,,1,3,2,1,1,,1,,1,2,,,,,,
KA KWP Katowice,48,,1,2,4,7,2,4,4,7,8,2,2,2,2,1,,
KI KWP Kielce,12,,,,2,,1,2,,2,3,1,,1,,,,
KK KWP Kraków,36,,3,1,2,5,4,3,4,2,4,4,,1,1,,1,1
LD KWP Łódź,34,,1,2,4,2,3,1,3,1,3,7,5,,1,1,,
LU KWP Lublin,18,,,,,3,2,3,,3,5,,1,,,,1,
OL KWP Olsztyn,12,,3,,1,1,,,2,,3,2,,,,,,
OP KWP Opole,6,,,3,1,,1,1,,,,,,,,,,
PO KWP Poznań,28,,,1,2,2,4,5,1,1,6,2,1,,,2,1,
RZ KWP Rzeszów,17,,1,1,2,,2,2,3,1,2,3,,,,,,
SC KWP Szczecin,17,,,1,1,1,1,1,2,3,2,1,3,,,,1,
WA KSP Warszawa,27,,1,2,,2,3,2,2,1,2,4,1,1,1,1,4,
WA KWP Radom,32,,,1,1,6,5,2,6,,4,4,,3,,,,
WR KWP Wrocław,29,,4,1,3,4,1,,2,3,3,1,4,2,,,1,
