Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,447,,8,25,25,41,48,35,39,33,45,40,33,27,17,14,15,2
BG KWP Bydgoszcz,31,,2,2,,2,6,3,2,2,5,4,,,1,1,,1
BK KWP Białystok,19,,,1,1,,1,2,3,4,2,,1,1,2,1,,
GD KWP Gdańsk,28,,,1,,2,4,4,,2,4,4,2,1,2,1,1,
GO KWP Gorzów Wlkp.,17,,,,2,1,3,1,1,,2,1,2,2,,,2,
KA KWP Katowice,44,,,3,2,4,2,6,7,1,4,4,4,2,4,1,,
KI KWP Kielce,10,,,,,3,1,,2,,1,1,1,1,,,,
KK KWP Kraków,28,,,3,2,5,2,1,2,4,1,1,2,2,1,,2,
LD KWP Łódź,32,,,4,2,2,5,,3,2,2,5,1,2,,2,2,
LU KWP Lublin,28,,,,3,3,3,1,2,,5,3,3,1,1,2,1,
OL KWP Olsztyn,23,,1,,1,4,2,1,1,1,1,5,1,2,,1,2,
OP KWP Opole,12,,,2,,2,,1,,2,2,,1,1,1,,,
PO KWP Poznań,32,,1,2,,4,1,,6,5,3,3,1,3,1,1,1,
RZ KWP Rzeszów,20,,1,2,,3,1,,,3,3,2,4,,,1,,
SC KWP Szczecin,29,,1,1,1,2,3,5,2,1,1,3,5,,2,2,,
WA KSP Warszawa,29,,1,1,6,1,6,4,,,3,,1,3,,,2,1
WA KWP Radom,31,,,2,1,1,5,3,5,3,5,2,1,2,,,1,
WR KWP Wrocław,34,,1,1,4,2,3,3,3,3,1,2,3,4,2,1,1,
