Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
03.2017,Razem,450,,9,28,37,38,44,29,35,34,45,56,32,21,18,11,13,
03.2017,BG KWP Bydgoszcz,27,,,2,2,4,3,3,3,1,1,4,3,,,1,,
03.2017,BK KWP Białystok,13,,1,1,1,,2,,,,4,2,,,1,1,,
03.2017,GD KWP Gdańsk,29,,1,3,1,3,1,1,3,4,2,4,2,1,,1,2,
03.2017,GO KWP Gorzów Wlkp.,13,,,3,,1,1,,1,,3,,1,1,1,,1,
03.2017,KA KWP Katowice,48,,2,4,10,2,3,3,1,6,2,3,4,2,6,,,
03.2017,KI KWP Kielce,16,,,1,1,1,1,1,2,,1,3,,2,1,,2,
03.2017,KK KWP Kraków,35,,,2,2,1,6,1,3,2,4,4,3,2,3,1,1,
03.2017,LD KWP Łódź,30,,,1,1,3,1,4,3,1,4,4,3,2,,2,1,
03.2017,LU KWP Lublin,32,,1,4,4,,2,1,2,2,2,8,4,,,2,,
03.2017,OL KWP Olsztyn,23,,,1,4,3,3,1,1,2,1,1,,2,1,1,2,
03.2017,OP KWP Opole,12,,,2,,4,,,,,2,,1,,1,2,,
03.2017,PO KWP Poznań,45,,1,1,2,4,8,3,8,1,3,6,4,2,1,,1,
03.2017,RZ KWP Rzeszów,25,,,1,,1,6,1,4,3,4,3,1,1,,,,
03.2017,SC KWP Szczecin,14,,1,,,1,,1,1,4,,1,1,1,2,,1,
03.2017,WA KSP Warszawa,20,,1,1,1,2,1,4,,1,2,3,2,1,,,1,
03.2017,WA KWP Radom,34,,1,1,5,7,1,2,2,2,6,5,1,1,,,,
03.2017,WR KWP Wrocław,34,,,,3,1,5,3,1,5,4,5,2,3,1,,1,
