Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,498,,3,29,39,51,32,45,50,33,33,66,43,37,12,13,12,
BG KWP Bydgoszcz,23,,,1,1,5,1,2,4,1,,4,1,3,,,,
BK KWP Białystok,15,,,2,,3,2,1,,1,1,1,1,,,1,2,
GD KWP Gdańsk,42,,,4,6,4,3,4,5,2,5,3,2,2,1,1,,
GO KWP Gorzów Wlkp.,11,,,1,,,,2,,,1,3,1,2,,,1,
KA KWP Katowice,49,,1,3,6,3,2,7,4,4,2,6,1,5,3,,2,
KI KWP Kielce,20,,,1,2,,1,1,1,2,2,5,1,2,,2,,
KK KWP Kraków,49,,,4,3,6,3,1,5,3,4,9,4,3,,3,1,
LD KWP Łódź,27,,,2,,3,1,3,1,2,,5,4,4,1,,1,
LU KWP Lublin,31,,,3,3,3,5,3,2,3,4,,3,,1,1,,
OL KWP Olsztyn,18,,,1,1,,2,2,3,,1,3,3,,,2,,
OP KWP Opole,6,,,,,2,1,1,,,1,,,,,1,,
PO KWP Poznań,46,,,2,5,4,1,5,5,5,3,5,5,3,1,,2,
RZ KWP Rzeszów,24,,,3,2,3,1,1,3,2,2,3,2,1,1,,,
SC KWP Szczecin,22,,1,,2,1,3,2,,3,2,4,1,2,1,,,
WA KSP Warszawa,37,,1,,2,5,2,5,5,1,1,2,4,6,1,1,1,
WA KWP Radom,41,,,,4,5,1,1,8,2,2,9,4,2,2,1,,
WR KWP Wrocław,37,,,2,2,4,3,4,4,2,2,4,6,2,,,2,
