Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
04.2017,Razem,428,,10,32,35,41,38,51,24,28,52,31,32,20,13,17,4,
04.2017,BG KWP Bydgoszcz,21,,1,4,3,3,,2,2,1,1,1,,1,,2,,
04.2017,BK KWP Białystok,7,,,,,1,2,1,,,2,1,,,,,,
04.2017,GD KWP Gdańsk,25,,1,2,3,3,1,5,,,3,2,2,,2,1,,
04.2017,GO KWP Gorzów Wlkp.,15,,3,1,1,,1,1,1,1,2,2,1,,,1,,
04.2017,KA KWP Katowice,41,,,3,4,6,1,6,2,1,3,2,5,3,1,4,,
04.2017,KI KWP Kielce,15,,,1,2,1,,,1,1,5,,2,1,1,,,
04.2017,KK KWP Kraków,32,,,2,2,4,3,5,2,2,5,2,2,2,1,,,
04.2017,LD KWP Łódź,39,,,4,3,3,5,7,1,1,3,3,2,2,3,1,1,
04.2017,LU KWP Lublin,23,,,2,1,1,3,,2,2,8,,3,1,,,,
04.2017,OL KWP Olsztyn,19,,2,,1,2,2,1,1,2,2,2,3,,,1,,
04.2017,OP KWP Opole,2,,,,1,,,,,,,,,,,1,,
04.2017,PO KWP Poznań,36,,,4,1,5,8,6,1,1,3,1,2,1,1,1,1,
04.2017,RZ KWP Rzeszów,31,,,4,3,2,,2,2,6,5,2,,1,3,1,,
04.2017,SC KWP Szczecin,31,,,,,1,7,3,1,3,1,9,2,3,,1,,
04.2017,WA KSP Warszawa,29,,1,,6,6,,3,1,2,1,1,1,2,,3,2,
04.2017,WA KWP Radom,33,,1,3,1,1,3,5,4,3,3,2,5,1,1,,,
04.2017,WR KWP Wrocław,29,,1,2,3,2,2,4,3,2,5,1,2,2,,,,
