Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,417,1,12,37,28,30,42,33,32,41,47,37,22,17,18,7,12,1
BG KWP Bydgoszcz,27,,1,4,1,1,4,3,1,4,3,2,1,1,,1,,
BK KWP Białystok,13,,,2,1,,1,1,1,,2,3,,1,,,1,
GD KWP Gdańsk,29,,3,4,2,4,3,1,3,2,2,3,1,,,,1,
GO KWP Gorzów Wlkp.,6,,,,,,1,1,1,,,,2,1,,,,
KA KWP Katowice,61,,1,3,6,5,7,5,3,7,9,,5,4,4,1,1,
KI KWP Kielce,15,,,1,1,,3,2,2,,1,2,,1,1,,1,
KK KWP Kraków,24,,1,1,1,,1,3,1,2,2,2,3,3,2,1,,1
LD KWP Łódź,18,,1,2,,2,,2,,2,4,2,,,1,1,1,
LU KWP Lublin,20,,1,1,,2,2,2,2,3,2,1,,,2,,2,
OL KWP Olsztyn,20,1,,1,,1,1,2,4,1,,2,1,3,1,1,1,
OP KWP Opole,13,,,,1,,1,,2,3,1,1,1,1,2,,,
PO KWP Poznań,32,,1,2,5,4,4,1,2,2,4,4,3,,,,,
RZ KWP Rzeszów,26,,,2,5,2,1,3,4,1,3,3,1,,1,,,
SC KWP Szczecin,13,,1,4,,,,1,1,1,1,2,,,,,2,
WA KSP Warszawa,32,,,3,1,3,3,2,1,3,7,4,1,1,1,1,1,
WA KWP Radom,28,,1,5,1,1,5,,,2,5,5,2,,1,,,
WR KWP Wrocław,40,,1,2,3,5,5,4,4,8,1,1,1,1,2,1,1,
