Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,377,,4,25,31,36,38,37,29,29,30,46,24,20,10,9,8,1
BG KWP Bydgoszcz,13,,,,2,1,1,,1,1,,4,,1,1,,1,
BK KWP Białystok,10,,,,,1,2,2,,,1,1,,,2,,1,
GD KWP Gdańsk,15,,,1,,2,3,3,1,,2,1,2,,,,,
GO KWP Gorzów Wlkp.,19,,,,1,3,,4,3,2,1,4,,1,,,,
KA KWP Katowice,43,,1,3,5,6,5,1,4,2,4,5,2,2,,2,1,
KI KWP Kielce,19,,,,1,2,1,3,,2,4,1,3,1,1,,,
KK KWP Kraków,34,,1,2,2,2,3,3,2,4,1,7,4,2,1,,,
LD KWP Łódź,26,,,1,3,3,4,2,1,1,3,4,,3,,1,,
LU KWP Lublin,27,,,1,3,3,3,2,1,4,3,1,3,1,1,1,,
OL KWP Olsztyn,13,,,3,1,,2,1,2,1,,,,2,,,1,
OP KWP Opole,11,,,2,1,2,1,,1,,,2,1,,,1,,
PO KWP Poznań,31,,2,1,3,3,4,4,3,1,2,3,3,1,,,1,
RZ KWP Rzeszów,16,,,2,,,1,1,2,2,1,4,,1,,2,,
SC KWP Szczecin,18,,,1,2,,1,2,2,5,1,,1,1,1,,1,
WA KSP Warszawa,28,,,3,2,3,4,,4,2,2,3,2,,,1,1,1
WA KWP Radom,21,,,1,1,1,2,1,1,2,3,2,2,3,2,,,
WR KWP Wrocław,33,,,4,4,4,1,8,1,,2,4,1,1,1,1,1,
