Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
11.2019,Razem,409,1,9,29,19,31,40,43,39,28,32,47,29,21,15,14,10,2
11.2019,BG KWP Bydgoszcz,18,,,,,,1,3,3,2,3,2,2,1,,,1,
11.2019,BK KWP Białystok,8,,,1,,1,,1,,,,2,1,,,1,,1
11.2019,GD KWP Gdańsk,26,,,2,1,3,2,3,2,2,1,3,1,5,1,,,
11.2019,GO KWP Gorzów Wlkp.,20,,1,2,1,2,3,1,3,1,,3,,1,1,1,,
11.2019,KA KWP Katowice,43,,2,3,3,3,4,3,6,2,4,3,4,3,1,2,,
11.2019,KI KWP Kielce,16,,,,,2,4,3,1,2,1,1,2,,,,,
11.2019,KK KWP Kraków,37,,2,6,,2,3,6,3,1,5,2,3,1,2,,1,
11.2019,LD KWP Łódź,28,,1,1,4,3,3,5,1,3,,1,2,2,1,,1,
11.2019,LU KWP Lublin,27,,1,1,1,1,2,3,1,3,3,2,4,,1,2,1,1
11.2019,OL KWP Olsztyn,11,,,1,,,2,,2,,2,1,1,,1,1,,
11.2019,OP KWP Opole,14,,,2,1,,,2,1,1,,3,1,1,1,,1,
11.2019,PO KWP Poznań,34,,,,,2,6,7,2,3,5,4,1,1,1,1,1,
11.2019,RZ KWP Rzeszów,21,,,,1,1,2,2,2,2,2,4,1,1,1,2,,
11.2019,SC KWP Szczecin,16,,,1,2,2,,2,1,,1,3,2,2,,,,
11.2019,WA KSP Warszawa,29,1,1,2,2,1,2,2,6,3,2,4,,,1,1,1,
11.2019,WA KWP Radom,29,,1,3,,3,2,,4,2,1,3,1,2,2,2,3,
11.2019,WR KWP Wrocław,32,,,4,3,5,4,,1,1,2,6,3,1,1,1,,
