Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,379,1,17,29,34,28,30,36,31,26,42,37,21,19,10,7,11,
BG KWP Bydgoszcz,23,,4,2,,2,3,3,3,1,3,1,,,,1,,
BK KWP Białystok,13,,,1,1,1,1,,2,1,,1,1,1,1,,2,
GD KWP Gdańsk,20,,,,7,1,,2,1,,2,5,,,,,2,
GO KWP Gorzów Wlkp.,13,,2,,2,1,,2,1,2,1,,,1,1,,,
KA KWP Katowice,46,1,,9,1,2,3,7,3,5,7,4,1,1,1,,1,
KI KWP Kielce,12,,,,2,1,1,2,1,,,1,1,1,1,,1,
KK KWP Kraków,21,,2,,2,2,1,2,2,2,1,1,3,,2,1,,
LD KWP Łódź,31,,,3,2,1,3,3,5,3,2,5,1,2,,1,,
LU KWP Lublin,24,,4,2,2,1,1,,2,1,4,2,2,3,,,,
OL KWP Olsztyn,21,,1,1,2,,2,3,1,2,3,3,1,1,1,,,
OP KWP Opole,5,,,1,,,,1,,,2,,,1,,,,
PO KWP Poznań,31,,,,5,3,2,2,2,2,3,6,3,1,,1,1,
RZ KWP Rzeszów,20,,,2,1,1,2,3,1,1,4,1,3,1,,,,
SC KWP Szczecin,10,,,1,,,2,,1,1,1,,,2,1,,1,
WA KSP Warszawa,25,,1,2,3,7,1,1,,2,3,1,2,1,1,,,
WA KWP Radom,27,,1,2,,,6,1,4,3,2,3,2,1,,1,1,
WR KWP Wrocław,37,,2,3,4,5,2,4,2,,4,3,1,2,1,2,2,
