Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
09.2019,Razem,416,,10,25,32,42,42,41,32,32,37,38,34,21,10,9,9,2
09.2019,BG KWP Bydgoszcz,20,,,3,3,1,1,3,,1,1,3,,2,1,,1,
09.2019,BK KWP Białystok,11,,,1,,1,2,,2,3,,1,,1,,,,
09.2019,GD KWP Gdańsk,21,,1,2,3,4,1,2,,1,,3,2,,,1,1,
09.2019,GO KWP Gorzów Wlkp.,17,,,,3,2,2,2,1,1,2,1,1,1,,1,,
09.2019,KA KWP Katowice,49,,,5,2,4,7,6,4,5,5,2,4,,1,1,3,
09.2019,KI KWP Kielce,6,,,,1,3,,,,1,,,1,,,,,
09.2019,KK KWP Kraków,31,,1,1,1,1,4,2,1,4,6,3,1,3,1,1,1,
09.2019,LD KWP Łódź,28,,1,1,3,2,2,6,3,2,3,2,1,1,,1,,
09.2019,LU KWP Lublin,24,,1,2,1,1,2,,1,3,2,2,4,1,4,,,
09.2019,OL KWP Olsztyn,16,,1,1,3,4,1,1,,2,,3,,,,,,
09.2019,OP KWP Opole,12,,1,,,1,1,1,2,,,3,2,,,1,,
09.2019,PO KWP Poznań,38,,1,1,3,4,2,6,3,2,4,3,4,4,,,1,
09.2019,RZ KWP Rzeszów,17,,1,2,1,3,1,,3,2,1,2,1,,,,,
09.2019,SC KWP Szczecin,20,,,,1,1,4,3,3,2,2,,2,1,,1,,
09.2019,WA KSP Warszawa,31,,,2,3,4,4,2,3,,4,1,4,3,1,,,
09.2019,WA KWP Radom,37,,,2,3,1,5,2,4,1,5,6,3,1,2,,2,
09.2019,WR KWP Wrocław,38,,2,2,1,5,3,5,2,2,2,3,4,3,,2,,2
