Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
06.2020,Razem,487,,10,20,36,38,48,45,40,38,35,58,47,27,15,12,17,1
06.2020,BG KWP Bydgoszcz,21,,2,1,4,2,1,1,1,,1,2,,1,2,,2,1
06.2020,BK KWP Białystok,18,,,,2,2,3,,1,2,3,4,,1,,,,
06.2020,GD KWP Gdańsk,30,,1,1,1,7,2,,,5,,5,1,2,2,,3,
06.2020,GO KWP Gorzów Wlkp.,7,,,,1,,,1,,,,2,2,,,1,,
06.2020,KA KWP Katowice,54,,3,2,7,8,7,6,2,4,5,4,2,2,2,,,
06.2020,KI KWP Kielce,17,,,,1,2,2,1,1,2,1,2,2,1,,1,1,
06.2020,KK KWP Kraków,53,,1,5,,4,3,7,6,4,2,9,8,,,3,1,
06.2020,LD KWP Łódź,27,,,3,2,1,3,2,2,2,3,3,1,2,2,1,,
06.2020,LU KWP Lublin,32,,,1,2,1,1,4,3,1,3,7,5,4,,,,
06.2020,OL KWP Olsztyn,35,,,1,,3,7,5,7,1,1,3,6,1,,,,
06.2020,OP KWP Opole,16,,,,2,1,,2,,5,1,2,1,1,,,1,
06.2020,PO KWP Poznań,32,,,,2,2,5,2,2,2,3,7,2,1,1,2,1,
06.2020,RZ KWP Rzeszów,27,,,2,2,,,3,3,3,1,2,3,1,1,3,3,
06.2020,SC KWP Szczecin,11,,,1,1,3,1,2,,1,,,,1,1,,,
06.2020,WA KSP Warszawa,31,,1,2,1,1,3,1,5,3,2,1,3,6,1,,1,
06.2020,WA KWP Radom,38,,,,2,1,3,4,5,1,9,2,6,,1,1,3,
06.2020,WR KWP Wrocław,38,,2,1,6,,7,4,2,2,,3,5,3,2,,1,
