Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,386,,5,39,36,38,32,26,33,31,35,33,25,20,11,11,11,
BG KWP Bydgoszcz,25,,,2,3,3,,2,,3,2,5,2,2,,,1,
BK KWP Białystok,14,,1,,,,3,2,,4,2,1,,1,,,,
GD KWP Gdańsk,25,,,7,2,4,,,,2,1,3,,1,2,2,1,
GO KWP Gorzów Wlkp.,12,,,1,1,2,2,,,1,1,,2,2,,,,
KA KWP Katowice,39,,,4,5,4,4,3,3,2,3,2,4,3,2,,,
KI KWP Kielce,22,,,,3,1,1,5,3,,2,,3,,1,1,2,
KK KWP Kraków,32,,1,2,7,,3,1,1,3,,5,5,1,1,,2,
LD KWP Łódź,18,,1,1,,1,2,,7,1,2,1,,2,,,,
LU KWP Lublin,18,,,1,2,3,,1,3,2,1,1,1,,,2,1,
OL KWP Olsztyn,22,,,2,3,1,2,3,1,3,2,2,,2,,,1,
OP KWP Opole,12,,,2,,2,2,1,,1,1,,2,,1,,,
PO KWP Poznań,27,,,3,1,3,2,2,5,3,3,3,,,1,1,,
RZ KWP Rzeszów,13,,1,1,1,,1,,3,,1,3,,,1,1,,
SC KWP Szczecin,21,,,4,,4,3,,,1,4,2,,2,1,,,
WA KSP Warszawa,29,,,5,1,3,3,1,2,1,3,4,2,,,2,2,
WA KWP Radom,30,,1,3,2,2,4,2,2,2,6,1,3,1,1,,,
WR KWP Wrocław,27,,,1,5,5,,3,3,2,1,,1,3,,2,1,
