Data,"Przedział wiekowy/KWP ",Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
01.2020,Razem,417,,8,33,37,33,35,37,35,35,40,40,33,16,17,9,9,
01.2020,BG KWP Bydgoszcz,28,,1,2,6,2,,1,3,4,4,1,3,,,1,,
01.2020,BK KWP Białystok,18,,,1,,2,2,2,2,2,1,2,1,2,1,,,
01.2020,GD KWP Gdańsk,22,,,1,,4,1,6,,3,,3,2,,2,,,
01.2020,GO KWP Gorzów Wlkp.,14,,,4,,,2,,,1,2,4,,1,,,,
01.2020,KA KWP Katowice,49,,,5,3,2,3,5,8,4,6,2,4,2,1,3,1,
01.2020,KI KWP Kielce,13,,,,1,,1,,1,1,2,2,,2,1,1,1,
01.2020,KK KWP Kraków,28,,,4,3,2,1,2,1,1,2,3,4,2,2,,1,
01.2020,LD KWP Łódź,24,,,,4,2,4,2,,,3,3,3,1,1,1,,
01.2020,LU KWP Lublin,25,,,5,2,3,3,,2,,1,3,,1,3,1,1,
01.2020,OL KWP Olsztyn,28,,2,,3,5,4,1,5,2,2,2,1,,1,,,
01.2020,OP KWP Opole,7,,,1,,,1,1,,2,1,,1,,,,,
01.2020,PO KWP Poznań,32,,1,2,4,2,3,5,2,2,4,,3,1,2,,1,
01.2020,RZ KWP Rzeszów,21,,,1,1,1,1,1,1,1,6,2,2,2,2,,,
01.2020,SC KWP Szczecin,29,,2,2,3,,3,3,4,3,3,4,,,1,,1,
01.2020,WA KSP Warszawa,22,,,2,1,,3,4,3,3,,2,1,1,,1,1,
01.2020,WA KWP Radom,30,,1,1,4,5,2,,2,4,,5,4,1,,,1,
01.2020,WR KWP Wrocław,27,,1,2,2,3,1,4,1,2,3,2,4,,,1,1,
