Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
05.2020,Razem,479,,4,31,40,42,46,51,41,41,39,42,30,25,16,13,18,
05.2020,BG KWP Bydgoszcz,21,,,4,3,1,3,1,2,2,1,1,,1,1,,1,
05.2020,BK KWP Białystok,15,,,1,2,,1,2,,2,2,2,,1,2,,,
05.2020,GD KWP Gdańsk,34,,1,2,1,5,5,6,1,1,3,3,1,3,2,,,
05.2020,GO KWP Gorzów Wlkp.,9,,,,,,3,3,,1,,1,,,,1,,
05.2020,KA KWP Katowice,54,,1,3,5,3,3,6,8,3,7,5,3,4,1,1,1,
05.2020,KI KWP Kielce,17,,,,1,1,1,2,1,,4,2,,,2,1,2,
05.2020,KK KWP Kraków,37,,,4,4,4,5,1,5,2,2,1,4,2,,2,1,
05.2020,LD KWP Łódź,35,,,2,4,2,2,4,3,4,2,4,3,2,2,1,,
05.2020,LU KWP Lublin,26,,1,3,3,2,2,1,1,3,2,2,2,1,1,1,1,
05.2020,OL KWP Olsztyn,18,,,1,2,2,1,1,4,3,,2,1,1,,,,
05.2020,OP KWP Opole,8,,,1,,,,1,,2,,3,1,,,,,
05.2020,PO KWP Poznań,45,,,2,4,5,6,7,6,1,4,3,4,2,,,1,
05.2020,RZ KWP Rzeszów,21,,,,1,4,2,2,1,6,,4,,1,,,,
05.2020,SC KWP Szczecin,27,,,3,1,5,3,3,1,,4,3,1,1,,1,1,
05.2020,WA KSP Warszawa,42,,,3,4,2,3,4,2,6,1,2,6,,2,1,6,
05.2020,WA KWP Radom,26,,,,1,1,,5,3,3,3,2,1,2,2,1,2,
05.2020,WR KWP Wrocław,44,,1,2,4,5,6,2,3,2,4,2,3,4,1,3,2,
