Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,334,,2,22,28,26,35,26,30,21,30,49,24,16,8,8,8,1
BG KWP Bydgoszcz,17,,,1,2,,3,2,2,2,1,3,,1,,,,
BK KWP Białystok,6,,,,,,2,,,1,1,2,,,,,,
GD KWP Gdańsk,12,,,,1,1,2,2,,,,2,1,1,1,,1,
GO KWP Gorzów Wlkp.,8,,,,2,1,1,,1,,,1,1,1,,,,
KA KWP Katowice,49,,,6,7,5,3,5,5,1,3,3,5,,1,4,1,
KI KWP Kielce,9,,,,1,,1,,1,1,2,1,2,,,,,
KK KWP Kraków,28,,,3,2,3,1,2,3,1,2,6,1,2,1,,1,
LD KWP Łódź,44,,,3,4,5,2,4,4,2,6,6,2,4,,1,1,
LU KWP Lublin,19,,,2,3,2,2,2,2,,,2,1,2,,,1,
OL KWP Olsztyn,12,,,1,,,,2,,2,1,1,2,1,1,1,,
OP KWP Opole,10,,,,,1,1,,1,,1,4,1,,1,,,
PO KWP Poznań,28,,,,1,1,3,1,3,4,2,7,4,1,,1,,
RZ KWP Rzeszów,15,,,1,2,1,3,2,1,,4,,,1,,,,
SC KWP Szczecin,17,,,1,,2,2,2,1,,2,4,,1,1,,1,
WA KSP Warszawa,31,,1,1,2,,5,2,4,6,2,4,2,,,1,,1
WA KWP Radom,17,,1,1,,2,2,,1,1,3,3,1,1,1,,,
WR KWP Wrocław,12,,,2,1,2,2,,1,,,,1,,1,,2,
