Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
02.2017,Razem,402,,6,23,33,46,34,32,40,37,39,46,23,15,7,12,9,
02.2017,BG KWP Bydgoszcz,16,,,1,2,2,,,3,3,1,,1,2,,1,,
02.2017,BK KWP Białystok,13,,,1,,3,1,1,,3,3,1,,,,,,
02.2017,GD KWP Gdańsk,24,,,3,1,3,2,4,2,,3,1,3,,,1,1,
02.2017,GO KWP Gorzów Wlkp.,9,,1,,1,2,1,,,,1,1,,,,1,1,
02.2017,KA KWP Katowice,49,,3,2,3,5,2,4,8,2,8,5,2,2,1,1,1,
02.2017,KI KWP Kielce,15,,,1,1,1,3,1,,2,1,1,2,,,1,1,
02.2017,KK KWP Kraków,30,,1,1,3,3,4,2,1,1,2,3,4,1,3,1,,
02.2017,LD KWP Łódź,20,,,1,2,1,3,,2,1,2,3,2,1,,,2,
02.2017,LU KWP Lublin,26,,,,3,,3,2,3,3,3,7,,,,2,,
02.2017,OL KWP Olsztyn,20,,,1,2,1,1,1,3,3,1,4,2,,1,,,
02.2017,OP KWP Opole,9,,,,,2,1,1,1,1,1,,2,,,,,
02.2017,PO KWP Poznań,35,,,3,3,4,,4,2,7,5,3,1,2,,,1,
02.2017,RZ KWP Rzeszów,32,,,1,3,5,3,2,1,4,2,6,3,1,1,,,
02.2017,SC KWP Szczecin,19,,,1,1,4,,2,2,1,2,3,,2,,1,,
02.2017,WA KSP Warszawa,28,,,3,,3,5,5,5,,1,2,,1,1,1,1,
02.2017,WA KWP Radom,25,,,3,4,2,2,2,3,3,1,2,,2,,1,,
02.2017,WR KWP Wrocław,32,,1,1,4,5,3,1,4,3,2,4,1,1,,1,1,
