Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
11.2018,Razem,404,,6,35,32,38,28,34,36,32,40,35,28,23,17,8,12,
11.2018,BG KWP Bydgoszcz,24,,,2,3,3,1,1,2,,1,4,2,1,1,,3,
11.2018,BK KWP Białystok,13,,,2,2,,2,1,2,2,,,,2,,,,
11.2018,GD KWP Gdańsk,33,,1,4,3,1,4,2,2,2,2,4,3,,3,,2,
11.2018,GO KWP Gorzów Wlkp.,13,,,,,1,,2,2,2,1,3,1,,,1,,
11.2018,KA KWP Katowice,41,,1,1,5,4,1,4,1,2,9,,1,4,5,,3,
11.2018,KI KWP Kielce,19,,,1,2,3,1,2,1,2,3,2,1,,1,,,
11.2018,KK KWP Kraków,23,,,1,,2,,1,6,2,2,3,,3,1,1,1,
11.2018,LD KWP Łódź,24,,1,1,2,1,2,4,2,3,3,1,2,1,,,1,
11.2018,LU KWP Lublin,20,,,2,1,3,2,,2,4,2,1,2,1,,,,
11.2018,OL KWP Olsztyn,14,,,3,2,1,1,,1,,1,1,2,1,,,1,
11.2018,OP KWP Opole,9,,,,2,,1,1,,,1,1,1,2,,,,
11.2018,PO KWP Poznań,27,,,1,3,4,3,2,2,3,5,3,1,,,,,
11.2018,RZ KWP Rzeszów,20,,,2,,3,,1,2,,4,3,2,2,1,,,
11.2018,SC KWP Szczecin,31,,2,6,2,2,4,2,1,1,1,3,3,1,2,1,,
11.2018,WA KSP Warszawa,29,,1,1,3,3,3,4,2,2,,1,3,3,1,2,,
11.2018,WA KWP Radom,37,,,5,1,5,2,3,5,4,4,1,3,1,1,1,1,
11.2018,WR KWP Wrocław,27,,,3,1,2,1,4,3,3,1,4,1,1,1,2,,
