Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
03.2019,Razem,417,,5,29,33,44,32,40,31,31,29,47,42,21,14,8,11,
03.2019,BG KWP Bydgoszcz,17,,,2,1,1,2,2,3,2,1,1,2,,,,,
03.2019,BK KWP Białystok,17,,,,,4,1,1,2,,1,2,3,1,2,,,
03.2019,GD KWP Gdańsk,28,,,3,2,3,5,1,2,1,3,1,4,,3,,,
03.2019,GO KWP Gorzów Wlkp.,10,,,,2,,2,,1,,1,2,1,1,,,,
03.2019,KA KWP Katowice,50,,,3,3,8,1,3,3,3,4,6,7,4,3,1,1,
03.2019,KI KWP Kielce,13,,,1,,1,2,1,,1,,3,,3,1,,,
03.2019,KK KWP Kraków,41,,,4,3,4,2,3,1,7,4,4,2,1,,2,4,
03.2019,LD KWP Łódź,17,,1,,2,1,,5,,1,1,2,2,1,,,1,
03.2019,LU KWP Lublin,18,,,2,3,1,1,1,2,1,1,3,,2,1,,,
03.2019,OL KWP Olsztyn,17,,2,1,1,,,3,1,2,1,5,1,,,,,
03.2019,OP KWP Opole,12,,,,2,2,1,2,,1,1,,3,,,,,
03.2019,PO KWP Poznań,35,,,2,5,1,2,4,4,1,2,4,4,3,1,1,1,
03.2019,RZ KWP Rzeszów,21,,,,1,3,2,3,3,2,1,1,3,1,1,,,
03.2019,SC KWP Szczecin,16,,,1,3,,1,2,,1,4,3,1,,,,,
03.2019,WA KSP Warszawa,33,,,2,3,4,2,3,4,3,1,3,3,1,,2,2,
03.2019,WA KWP Radom,28,,,2,1,5,3,2,4,4,1,2,1,1,,2,,
03.2019,WR KWP Wrocław,44,,2,6,1,6,5,4,1,1,2,5,5,2,2,,2,
