Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
08.2019,Razem,479,1,10,29,36,41,47,38,45,35,42,47,36,31,13,10,17,1
08.2019,BG KWP Bydgoszcz,23,,,3,1,2,6,4,,2,2,1,,,,1,1,
08.2019,BK KWP Białystok,13,,1,,,1,2,,2,1,2,4,,,,,,
08.2019,GD KWP Gdańsk,25,,,2,2,1,3,3,1,1,3,4,1,3,,1,,
08.2019,GO KWP Gorzów Wlkp.,12,,1,1,,2,1,1,2,,,1,1,1,1,,,
08.2019,KA KWP Katowice,53,,1,6,4,6,6,3,6,7,,4,3,3,2,,2,
08.2019,KI KWP Kielce,20,,,,1,1,1,3,,,5,2,4,,2,1,,
08.2019,KK KWP Kraków,30,,,,3,2,3,1,5,4,3,3,1,2,2,,1,
08.2019,LD KWP Łódź,39,,,2,2,2,2,3,4,3,3,5,5,2,,4,2,
08.2019,LU KWP Lublin,23,,,,4,3,2,1,2,3,1,3,1,1,2,,,
08.2019,OL KWP Olsztyn,28,1,1,4,2,1,2,3,1,4,1,3,2,,,1,2,
08.2019,OP KWP Opole,12,,,,,3,3,,1,,,3,1,1,,,,
08.2019,PO KWP Poznań,35,,1,1,1,2,3,3,4,1,6,1,6,2,1,1,2,
08.2019,RZ KWP Rzeszów,26,,2,1,4,,3,4,1,1,2,2,2,3,,1,,
08.2019,SC KWP Szczecin,25,,,1,2,5,,1,2,,3,2,3,3,1,,2,
08.2019,WA KSP Warszawa,33,,,2,3,4,5,4,2,3,2,2,,4,,,2,
08.2019,WA KWP Radom,43,,1,3,3,,3,2,7,5,7,4,4,2,,,1,1
08.2019,WR KWP Wrocław,39,,2,3,4,6,2,2,5,,2,3,2,4,2,,2,
