Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,436,,6,31,31,32,38,41,39,40,44,45,29,22,16,9,13,
BG KWP Bydgoszcz,22,,,,1,3,3,,3,1,4,1,2,3,,,1,
BK KWP Białystok,10,,,1,1,2,1,1,,1,,3,,,,,,
GD KWP Gdańsk,17,,,2,,,2,,1,,5,2,1,3,,,1,
GO KWP Gorzów Wlkp.,15,,,1,,,,3,,,1,2,4,2,1,,1,
KA KWP Katowice,49,,1,3,2,5,2,5,4,4,9,5,5,1,1,,2,
KI KWP Kielce,18,,,,,2,1,5,1,4,1,4,,,,,,
KK KWP Kraków,36,,1,2,4,2,3,3,6,3,6,,1,2,3,,,
LD KWP Łódź,32,,,3,3,,6,2,4,2,1,3,2,2,3,,1,
LU KWP Lublin,20,,,,3,1,5,1,2,4,1,3,,,,,,
OL KWP Olsztyn,22,,,3,1,2,2,3,1,1,1,1,4,1,1,1,,
OP KWP Opole,9,,,,1,1,2,1,,1,,1,1,,,,1,
PO KWP Poznań,38,,,4,2,2,1,4,5,3,3,7,3,2,1,1,,
RZ KWP Rzeszów,30,,2,1,4,2,3,3,4,4,,3,,,2,,2,
SC KWP Szczecin,27,,1,1,2,2,1,,3,3,4,4,2,2,1,1,,
WA KSP Warszawa,31,,,4,4,7,1,4,3,1,,3,1,2,,1,,
WA KWP Radom,30,,1,2,2,1,4,4,1,3,1,,2,1,3,3,2,
WR KWP Wrocław,30,,,4,1,,1,2,1,5,7,3,1,1,,2,2,
