Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
07.2017,Razem,490,,4,44,38,42,37,44,40,40,53,46,40,28,9,14,11,
07.2017,BG KWP Bydgoszcz,22,,1,1,1,1,2,1,2,3,,5,1,2,,1,1,
07.2017,BK KWP Białystok,16,,,2,,1,4,,,,4,,1,2,2,,,
07.2017,GD KWP Gdańsk,21,,,2,2,3,1,,2,3,2,1,3,,,,2,
07.2017,GO KWP Gorzów Wlkp.,11,,,2,1,1,1,,,1,,2,2,,1,,,
07.2017,KA KWP Katowice,66,,1,5,1,11,5,4,7,6,5,7,8,2,,2,2,
07.2017,KI KWP Kielce,21,,,2,3,1,,,2,3,4,1,3,,,1,1,
07.2017,KK KWP Kraków,44,,,4,1,4,2,5,2,3,7,4,3,4,1,2,2,
07.2017,LD KWP Łódź,35,,,,3,4,5,6,4,3,5,2,1,,2,,,
07.2017,LU KWP Lublin,33,,1,3,4,,1,5,4,5,3,2,1,2,,2,,
07.2017,OL KWP Olsztyn,15,,,2,2,1,2,2,1,1,,3,,,,1,,
07.2017,OP KWP Opole,10,,,1,,1,1,4,,,1,,,2,,,,
07.2017,PO KWP Poznań,28,,1,2,2,3,1,2,2,1,3,4,3,2,1,,1,
07.2017,RZ KWP Rzeszów,25,,,4,3,2,,2,2,2,4,3,1,2,,,,
07.2017,SC KWP Szczecin,23,,,4,2,1,1,1,3,3,3,1,1,1,,2,,
07.2017,WA KSP Warszawa,33,,,4,6,1,4,2,2,2,3,1,4,2,1,,1,
07.2017,WA KWP Radom,40,,,,2,4,1,4,5,3,3,7,3,5,1,1,1,
07.2017,WR KWP Wrocław,47,,,6,5,3,6,6,2,1,6,3,5,2,,2,,
