Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,456,,12,28,32,35,44,47,41,31,42,43,31,31,12,14,11,2
BG KWP Bydgoszcz,26,,1,3,1,3,,2,4,,3,3,3,2,,,1,
BK KWP Białystok,15,,,,1,2,3,,1,2,1,2,1,,,1,1,
GD KWP Gdańsk,19,,1,1,3,1,4,3,1,2,2,1,,,,,,
GO KWP Gorzów Wlkp.,18,,1,,1,1,2,,2,1,1,4,1,2,1,,,1
KA KWP Katowice,44,,2,1,1,7,5,4,3,4,6,2,5,2,,2,,
KI KWP Kielce,18,,,1,,1,2,1,2,2,2,,2,3,1,1,,
KK KWP Kraków,36,,2,3,3,5,,1,3,1,5,2,3,4,3,1,,
LD KWP Łódź,35,,1,,,4,3,6,8,3,1,2,3,1,1,,2,
LU KWP Lublin,21,,,,,1,1,7,1,1,2,5,,,,2,,1
OL KWP Olsztyn,22,,1,2,4,1,1,2,,,1,4,,4,1,1,,
OP KWP Opole,5,,,,,,1,,1,1,,,,1,,,1,
PO KWP Poznań,43,,3,2,6,2,3,3,4,4,2,3,2,3,1,2,3,
RZ KWP Rzeszów,22,,,4,1,1,3,2,1,1,5,1,1,2,,,,
SC KWP Szczecin,28,,,4,4,2,4,,2,3,1,4,3,,,,1,
WA KSP Warszawa,31,,,,2,2,2,7,5,3,2,3,2,1,2,,,
WA KWP Radom,31,,,2,2,2,3,5,1,2,4,1,3,2,1,2,1,
WR KWP Wrocław,42,,,5,3,,7,4,2,1,4,6,2,4,1,2,1,
