Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,398,,4,29,33,38,36,41,24,32,42,40,26,15,8,13,17,
BG KWP Bydgoszcz,22,,,,3,3,3,3,1,1,2,3,,,1,,2,
BK KWP Białystok,10,,,2,,,2,1,,,,1,1,1,1,1,,
GD KWP Gdańsk,16,,,2,1,4,,1,3,1,1,2,,,,,1,
GO KWP Gorzów Wlkp.,15,,,,1,1,2,2,1,1,2,3,1,1,,,,
KA KWP Katowice,43,,,4,3,5,1,7,2,2,8,2,2,3,,2,2,
KI KWP Kielce,15,,,1,,2,3,,,1,4,,2,,,,2,
KK KWP Kraków,34,,1,5,3,3,3,2,1,3,2,2,5,1,1,,2,
LD KWP Łódź,33,,,2,2,1,2,4,3,3,1,5,1,1,2,2,4,
LU KWP Lublin,23,,,2,1,1,2,1,,4,4,5,2,,1,,,
OL KWP Olsztyn,16,,1,,1,3,1,,,4,1,2,1,,,2,,
OP KWP Opole,6,,,,,3,1,1,,1,,,,,,,,
PO KWP Poznań,37,,,2,4,1,2,8,2,2,5,1,3,2,2,1,2,
RZ KWP Rzeszów,15,,,1,1,,1,2,1,1,2,2,3,,,,1,
SC KWP Szczecin,22,,2,4,1,1,1,2,3,3,1,1,,2,,1,,
WA KSP Warszawa,28,,,3,5,2,3,2,3,,4,2,1,3,,,,
WA KWP Radom,38,,,,3,4,5,3,4,3,3,6,3,,,3,1,
WR KWP Wrocław,25,,,1,4,4,4,2,,2,2,3,1,1,,1,,
