Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
Razem,453,,3,14,34,39,49,45,41,36,56,44,39,24,12,12,4,1
BG KWP Bydgoszcz,17,,,1,2,,3,,3,1,1,4,,,1,,1,
BK KWP Białystok,10,,,1,,,,2,,1,,2,1,,3,,,
GD KWP Gdańsk,22,,,1,2,2,1,5,3,1,2,1,2,1,,1,,
GO KWP Gorzów Wlkp.,8,,,1,,,2,1,1,1,1,,,1,,,,
KA KWP Katowice,44,,,1,6,7,7,4,5,2,5,3,1,,1,2,,
KI KWP Kielce,19,,,1,2,2,3,3,2,,2,2,1,,,1,,
KK KWP Kraków,40,,,1,1,5,3,6,3,5,4,2,4,3,1,1,,1
LD KWP Łódź,36,,1,3,3,,7,1,4,4,4,1,4,2,1,,1,
LU KWP Lublin,33,,,2,2,4,1,3,3,2,3,4,5,1,1,2,,
OL KWP Olsztyn,15,,1,,,2,1,1,1,2,2,,4,,1,,,
OP KWP Opole,8,,,,,,3,1,1,1,,,,1,1,,,
PO KWP Poznań,35,,,1,2,2,6,4,2,2,4,7,1,2,,1,1,
RZ KWP Rzeszów,30,,,,3,1,1,5,3,2,6,4,1,4,,,,
SC KWP Szczecin,21,,,,2,2,3,1,3,3,3,1,2,1,,,,
WA KSP Warszawa,29,,,1,1,4,2,3,3,1,5,3,1,2,1,2,,
WA KWP Radom,43,,,,3,3,3,1,2,5,7,7,8,3,,,1,
WR KWP Wrocław,43,,1,,5,5,3,4,2,3,7,3,4,3,1,2,,
