Data,Przedział wiekowy/KWP,Razem,7-12,13-18,19-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Nieustalony wiek
06.2018,Razem,482,1,10,28,37,45,34,50,38,44,56,56,37,19,7,7,12,1
06.2018,BG KWP Bydgoszcz,33,,2,3,4,5,3,2,3,,,4,4,2,,,,1
06.2018,BK KWP Białystok,11,,,,,,1,1,2,1,4,1,1,,,,,
06.2018,GD KWP Gdańsk,21,,,1,5,2,2,2,,2,2,2,2,,1,,,
06.2018,GO KWP Gorzów Wlkp.,19,,,,4,2,2,2,2,2,2,2,1,,,,,
06.2018,KA KWP Katowice,52,,1,7,2,5,3,10,5,5,5,4,3,,,1,1,
06.2018,KI KWP Kielce,12,,,1,2,,,2,1,1,3,1,,,1,,,
06.2018,KK KWP Kraków,34,,,,1,4,3,3,2,4,7,4,,4,,1,1,
06.2018,LD KWP Łódź,29,,1,1,1,,2,1,3,4,3,3,5,1,,1,3,
06.2018,LU KWP Lublin,36,,1,2,2,2,3,6,1,3,5,2,4,3,,2,,
06.2018,OL KWP Olsztyn,18,,1,1,,2,3,1,,,3,3,1,1,1,,1,
06.2018,OP KWP Opole,21,1,,1,2,,3,3,2,,2,4,,1,,,2,
06.2018,PO KWP Poznań,36,,,1,3,9,2,3,6,3,4,2,2,,,1,,
06.2018,RZ KWP Rzeszów,24,,,2,2,,1,3,2,2,3,5,,3,1,,,
06.2018,SC KWP Szczecin,30,,3,,,4,1,4,1,4,2,5,4,1,1,,,
06.2018,WA KSP Warszawa,26,,,2,2,5,1,2,1,3,3,,4,2,,,1,
06.2018,WA KWP Radom,40,,,,3,3,1,4,3,4,6,9,4,,1,,2,
06.2018,WR KWP Wrocław,40,,1,6,4,2,3,1,4,6,2,5,2,1,1,1,1,
